    1,PC2,PC3,id,color
M01_Lung_24M_F0_1,-19.3732007452714,1.58355914009478,11.6754345554524,M01_Lung_24M_F0_1,#8dd3c7
M02_Lung_24M_F0_2,-17.1511168844277,-10.2963737635679,2.80791103733252,M02_Lung_24M_F0_2,#8dd3c7
M03_Lung_24M_F0_3,-19.6825202564602,-8.05114185224513,8.39550742399183,M03_Lung_24M_F0_3,#8dd3c7
M04_Lung_18M_F0_1,-17.2764454683672,-3.96220015858314,3.65057252014853,M04_Lung_18M_F0_1,#8dd3c7
M05_Lung_18M_F0_2,-17.4085124184722,-7.83844598527171,6.08456861003401,M05_Lung_18M_F0_2,#8dd3c7
M06_Lung_18M_F0_3,-17.7345458296019,3.15047114629881,15.5927708776557,M06_Lung_18M_F0_3,#8dd3c7
M07_Lung_12M_F0_1,-18.6528675187689,-3.76837212671422,5.16383439969107,M07_Lung_12M_F0_1,#8dd3c7
M08_Lung_12M_F0_2,-14.4401115698486,3.09233019406477,12.9731170745085,M08_Lung_12M_F0_2,#8dd3c7
M09_Lung_12M_F0_3,-16.7422918377633,7.02733413237182,9.07444621730987,M09_Lung_12M_F0_3,#8dd3c7
M10_Lung_09M_F0_1,-16.2101845125736,2.45392175473558,6.60583658559765,M10_Lung_09M_F0_1,#8dd3c7
M11_Lung_09M_F0_2,-17.8801384970844,1.63460785237996,12.4695531492705,M11_Lung_09M_F0_2,#8dd3c7
M12_Lung_09M_F0_3,-19.748540673877,6.49210129525249,13.2207871427533,M12_Lung_09M_F0_3,#8dd3c7
M13_Lung_04M_F0_1,-22.1674542370228,0.819004089749149,2.37172485157982,M13_Lung_04M_F0_1,#8dd3c7
M14_Lung_04M_F0_2,-20.5720278840775,1.26677436620377,6.67766758085653,M14_Lung_04M_F0_2,#8dd3c7
M15_Lung_04M_F0_3,-21.4477322940206,6.8654263435203,-2.75727592694988,M15_Lung_04M_F0_3,#8dd3c7
M16_Lung_24M_F0_4,-15.7927487883613,-8.70531456829531,3.61696759216822,M16_Lung_24M_F0_4,#8dd3c7
M17_Lung_24M_F0_5,-14.3174628755876,-12.5855524543566,1.19055312368347,M17_Lung_24M_F0_5,#8dd3c7
M18_Lung_24M_F0_6,-15.1254236728598,-11.914258551275,7.67177928450599,M18_Lung_24M_F0_6,#8dd3c7
M19_Lung_18M_F0_4,-13.656525407866,-10.4710988310499,-8.40911581533616,M19_Lung_18M_F0_4,#8dd3c7
M20_Lung_18M_F0_5,-9.91906086080922,-0.299582828975288,-12.122940910688,M20_Lung_18M_F0_5,#8dd3c7
M21_Lung_18M_F0_6,-13.4474982843045,-9.38838159282454,1.43059964641567,M21_Lung_18M_F0_6,#8dd3c7
M22_Lung_12M_F0_4,-13.5119050850109,-9.00549477104786,1.61893727627491,M22_Lung_12M_F0_4,#8dd3c7
M23_Lung_12M_F0_5,-10.6135052892931,-7.83348008905288,-7.01673397120775,M23_Lung_12M_F0_5,#8dd3c7
M24_Lung_12M_F0_6,-14.4009317328064,-13.6793692033301,1.51574258979916,M24_Lung_12M_F0_6,#8dd3c7
M25_Lung_09M_F0_4,-14.5014461000918,-0.900180504896671,-6.13959049685756,M25_Lung_09M_F0_4,#8dd3c7
M26_Lung_09M_F0_5,-18.805537196347,15.7613330888262,4.15403828351431,M26_Lung_09M_F0_5,#8dd3c7
M27_Lung_09M_F0_6,-17.9762402345086,-1.80704600977456,-10.5043140589924,M27_Lung_09M_F0_6,#8dd3c7
M28_Lung_04M_F0_4,-17.63104316463,8.48270863105596,-14.0116969436539,M28_Lung_04M_F0_4,#8dd3c7
M29_Lung_04M_F0_5,-19.9340520151842,3.07810773881035,-4.69460970022631,M29_Lung_04M_F0_5,#8dd3c7
M30_Lung_04M_F0_6,-14.6956795841829,-3.99930715665637,0.313659464733747,M30_Lung_04M_F0_6,#8dd3c7
M31_Lung_01M_F0_1,-20.3870188586372,19.6204164003829,-8.96898165698271,M31_Lung_01M_F0_1,#8dd3c7
M32_Lung_01M_F0_2,-22.4070223542122,21.2985374015447,-9.09608678615898,M32_Lung_01M_F0_2,#8dd3c7
M33_Lung_01M_F0_3,-20.0102976090467,21.3302079644458,-6.92052241354688,M33_Lung_01M_F0_3,#8dd3c7
M34_Lung_01M_F0_4,-21.0778289334081,42.1922433188879,-10.1127113562734,M34_Lung_01M_F0_4,#8dd3c7
